question,value,code_n,code_alternative,Label,code_question,notes,alternative_label
profile_gross_personal,1,1,1,"under �5,000 per year",,,"Under £15,000"
profile_gross_personal,2,2,1,"�5,000 to �9,999 per year",,,"Under £15,000"
profile_gross_personal,3,3,1,"�10,000 to �14,999 per year",,,"Under £15,000"
profile_gross_personal,4,4,2,"�15,000 to �19,999 per year",,,"£15,000 - £24,999"
profile_gross_personal,5,5,2,"�20,000 to �24,999 per year",,,"£15,000 - £24,999"
profile_gross_personal,6,6,3,"�25,000 to �29,999 per year",,,"£25,000 - £34,999 "
profile_gross_personal,7,7,3,"�30,000 to �34,999 per year",,,"£25,000 - £34,999 "
profile_gross_personal,8,8,4,"�35,000 to �39,999 per year",,,"£35,000 - £59,999  "
profile_gross_personal,9,9,4,"�40,000 to �44,999 per year",,,"£35,000 - £59,999  "
profile_gross_personal,10,10,4,"�45,000 to �49,999 per year",,,"£35,000 - £59,999  "
profile_gross_personal,11,11,4,"�50,000 to �59,999 per year",,,"£35,000 - £59,999  "
profile_gross_personal,12,12,5,"�60,000 to �69,999 per year",,,"£60,000 or over"
profile_gross_personal,13,13,5,"�70,000 to �99,999 per year",,,"£60,000 or over"
profile_gross_personal,14,14,5,"�100,000 and over",,,"£60,000 or over"
profile_gross_personal,15,15,6,Don�t know,,,Don’t know
profile_gross_personal,16,16,7,Prefer not to answer,,,Prefer not to answer
profile_gross_personal,98a,17,8,Skipped,,,Skipped / not asked
profile_gross_personal,99a,18,8,Not Asked,,,Skipped / not asked
profile_marital_stat,1,1,,Married,,,
profile_marital_stat,2,2,,Living as married,,,
profile_marital_stat,3,3,,Separated (after being married),,,
profile_marital_stat,4,4,,Divorced,,,
profile_marital_stat,5,5,,Widowed,,,
profile_marital_stat,6,6,,Never married,,,
profile_marital_stat,7,7,,Civil Partnership,,,
profile_marital_stat,8a,8,,Skipped,,,
profile_marital_stat,9a,8,,Not Asked,,,
profile_socialgrade_cie,1,1,,A,,,
profile_socialgrade_cie,2,2,,B,,,
profile_socialgrade_cie,3,3,,C1,,,
profile_socialgrade_cie,4,4,,C2,,,
profile_socialgrade_cie,5,5,,D,,,
profile_socialgrade_cie,6,6,,E,,,
profile_socialgrade_cie,7,,,Refused,,,
profile_socialgrade_cie,8,,,Unknown,,,
profile_socialgrade_cie,98a,,,Skipped,,,
profile_socialgrade_cie,99a,,,Not Asked,,,
profile_GOR,1,1,,North East,,,
profile_GOR,2,2,,North West,,,
profile_GOR,3,3,,Yorkshire and the Humber,,,
profile_GOR,4,4,,East Midlands,,,
profile_GOR,5,5,,West Midlands,,,
profile_GOR,6,6,,East of England,,,
profile_GOR,7,7,,London,,,
profile_GOR,8,8,,South East,,,
profile_GOR,9,9,,South West,,,
profile_GOR,10,10,,Wales,,,
profile_GOR,11,11,,Scotland,,,
profile_GOR,12,,,Northern Ireland,,,
profile_GOR,13,,,Non UK & Invalid,,,
profile_GOR,98a,,,Skipped,,,
profile_GOR,99a,,,Not Asked,,,
voted_ge_2019,1,,,"Yes, voted",,,
voted_ge_2019,2,,,"No, did not vote",,,
voted_ge_2019,99,,,Don�t know,,,
voted_ge_2019,998a,,,Skipped,,,
voted_ge_2019,999a,,,Not Asked,,,
pastvote_ge_2019,1,2,,Conservative,,,
pastvote_ge_2019,2,3,,Labour,,,
pastvote_ge_2019,3,4,,Liberal Democrat,,,
pastvote_ge_2019,4,5,,Scottish National Party (SNP),,,
pastvote_ge_2019,5,6,,Plaid Cymru,,,
pastvote_ge_2019,6,7,,Brexit Party,,,
pastvote_ge_2019,7,8,,Green,,,
pastvote_ge_2019,98,9,,Other,,,
pastvote_ge_2019,99,10,,Don't know,,,
pastvote_ge_2019,998a,1,,Skipped,,,
pastvote_ge_2019,999a,1,,Not Asked,,,
vote2019,,1,,Conservative,,recoded,
vote2019,,2,,Labour,,recoded,
vote2019,,3,,Liberal Democrat,,recoded,
vote2019,,4,,Scottish National Party (SNP),,recoded,
vote2019,,5,,Plaid Cymru,,recoded,
vote2019,,6,,Brexit Party,,recoded,
vote2019,,7,,Green,,recoded,
vote2019,,8,,Other,,recoded,
vote2019,,9,,Don�t know,,recoded,
vote2019,,10,,"No, did not vote",,recoded,
vote2019,,11,,Not asked,,recoded,
voted2017,1,,,"Yes, voted",,,
voted2017,2,,,"No, did not vote",,,
voted2017,99,,,Don�t know,,,
voted2017,998a,,,Skipped,,,
voted2017,999a,,,Not Asked,,,
pastvote_2017,1,,,Conservative,,,
pastvote_2017,2,,,Labour,,,
pastvote_2017,3,,,Liberal Democrat,,,
pastvote_2017,4,,,Scottish National Party (SNP),,,
pastvote_2017,5,,,Plaid Cymru,,,
pastvote_2017,6,,,UK Independence Party (UKIP),,,
pastvote_2017,7,,,Green,,,
pastvote_2017,8,,,N/A,,,
pastvote_2017,9,,,N/A,,,
pastvote_2017,98,,,Other,,,
pastvote_2017,99,,,Don�t know,,,
pastvote_2017,998a,,,Skipped,,,
pastvote_2017,999a,,,Not Asked,,,
pastvote_EURef,1,1,,I voted to Remain,,,
pastvote_EURef,2,2,,I voted to Leave,,,
pastvote_EURef,3,3,,I did not vote,,,
pastvote_EURef,4,4,,Can�t remember,,,
pastvote_EURef,8a,,,Skipped,,,
pastvote_EURef,9a,,,Not Asked,,,
UoE_2_1,1,1,,Very justified,att_pubs,,
UoE_2_1,2,2,,Somewhat justified,att_pubs,,
UoE_2_1,3,3,,Neither justified or unjustified,att_pubs,,
UoE_2_1,4,4,,Somewhat unjustified,att_pubs,,
UoE_2_1,5,5,,Very unjustified,att_pubs,,
UoE_2_1,6,,,Don�t know,,,
UoE_2_1,8a,,,Skipped,,,
UoE_2_1,9a,,,Not Asked,,,
UoE_2_2,1,1,,Very justified,att_schools,,
UoE_2_2,2,2,,Somewhat justified,att_schools,,
UoE_2_2,3,3,,Neither justified or unjustified,att_schools,,
UoE_2_2,4,4,,Somewhat unjustified,att_schools,,
UoE_2_2,5,5,,Very unjustified,att_schools,,
UoE_2_2,6,,,Don�t know,,,
UoE_2_2,8a,,,Skipped,,,
UoE_2_2,9a,,,Not Asked,,,
UoE_2_3,1,1,,Very justified,att_social,,
UoE_2_3,2,2,,Somewhat justified,att_social,,
UoE_2_3,3,3,,Neither justified or unjustified,att_social,,
UoE_2_3,4,4,,Somewhat unjustified,att_social,,
UoE_2_3,5,5,,Very unjustified,att_social,,
UoE_2_3,6,,,Don�t know,,,
UoE_2_3,8a,,,Skipped,,,
UoE_2_3,9a,,,Not Asked,,,
UoE_3,1,1,,None,behav_meetings,,
UoE_3,2,2,,Less than 5,behav_meetings,,
UoE_3,3,3,,Between 5 and 10 times,behav_meetings,,
UoE_3,4,4,,More than 10 times,behav_meetings,,
UoE_3,5,,,Don�t know,,,
UoE_3,8a,,,Skipped,,,
UoE_3,9a,,,Not Asked,,,
UoE_4_1,1,1,,Always,mask_stores,,
UoE_4_1,2,2,,Most of the time,mask_stores,,
UoE_4_1,3,3,,Sometimes,mask_stores,,
UoE_4_1,4,4,,Rarely,mask_stores,,
UoE_4_1,5,5,,Never,mask_stores,,
UoE_4_1,6,,,Not applicable- I do not wear a mask for medical reasons,,,
UoE_4_1,7,,,Not applicable � I have not done this,,,
UoE_4_1,8a,,,Skipped,,,
UoE_4_1,9a,,,Not Asked,,,
UoE_4_2,1,1,,Always,mask_transport,,
UoE_4_2,2,2,,Most of the time,mask_transport,,
UoE_4_2,3,3,,Sometimes,mask_transport,,
UoE_4_2,4,4,,Rarely,mask_transport,,
UoE_4_2,5,5,,Never,mask_transport,,
UoE_4_2,6,,,Not applicable- I do not wear a mask for medical reasons,,,
UoE_4_2,7,,,Not applicable � I have not done this,,,
UoE_4_2,8a,,,Skipped,,,
UoE_4_2,9a,,,Not Asked,,,
UoE_5,1,,,"Yes, I do",,,
UoE_5,2,,,"No, I do not",,,
UoE_5,3,,,Don�t know,,,
UoE_5,4,,,Prefer not to say,,,
UoE_5,8a,,,Skipped,,,
UoE_5,9a,,,Not Asked,,,
UoE_6,1,2,,Very likely,vaccine,,
UoE_6,2,3,,Fairly likely,vaccine,,
UoE_6,3,5,,Fairly unlikely,vaccine,,
UoE_6,4,6,,Very unlikely,vaccine,,
UoE_6,5,4,,Don�t know,vaccine,,
UoE_6,6,,,Not applicable � I am medically exempt,,,
UoE_6,7,1,,Not applicable � I have already received at least one dose of the Covid-19 vaccine,vaccine,,
UoE_6,8a,,,Skipped,,,
UoE_6,9a,,,Not Asked,,,
UoE_6_v2,1,1,,Very likely,vaccine2,v2,
UoE_6_v2,2,2,,Fairly likely,vaccine2,v2,
UoE_6_v2,3,4,,Fairly unlikely,vaccine2,v2,
UoE_6_v2,4,5,,Very unlikely,vaccine2,v2,
UoE_6_v2,5,3,,Don�t know,vaccine2,v2,
UoE_6_v2,6,,,Not applicable � I am medically exempt,,v2,
UoE_6_v2,7,,,Not applicable � I have already received at least one dose of the Covid-19 vaccine,,v2,
UoE_6_v2,8a,,,Skipped,,v2,
UoE_6_v2,9a,,,Not Asked,,v2,
